group	date	value
65 plus	2008	10
26-45	2008	8
65 plus	2009	14
65 plus	2006	9
46-64	2007	10
65 plus	2006	8
65 plus	2006	14
26-45	2010	9
46-64	2006	3
46-64	2006	3.5
65 plus	2006	5
26-45	2010	11
46-64	2005	3
65 plus	2006	3.5
65 plus	2006	4.5
46-64	2006	10.5
46-64	2006	10
65 plus	2012	8
26-45	2011	14
26-45	2009	9
65 plus	2014	10
46-64	2007	8
46-64	2005	14
46-64	2007	9
26-45	2014	3
46-64	2006	3.5
46-64	2006	5
26-45	2006	11
65 plus	2006	3
46-64	2006	3.5
65 plus	2011	4.5
46-64	2011	10.5
26-45	2009	10
26-45	2012	8
65 plus	2014	14
65 plus	2006	9
65 plus	2006	10
46-64	2011	8
65 plus	2009	14
65 plus	2006	9
65 plus	2006	3
26-45	2009	3.5
46-64	2006	5
26-45	2006	11
65 plus	2006	3
65 plus	2000	3.5
26-45	2012	4.5
46-64	2011	10.5
26-45	2006	10
26-45	2008	8
65 plus	2006	14
65 plus	2006	9
65 plus	2011	10
65 plus	2006	8
46-64	2006	14
46-64	2006	9
46-64	2006	3
26-45	2012	3.5
46-64	2006	5
46-64	2010	11
65 plus	2006	3
65 plus	2006	3.5
46-64	2006	4.5
65 plus	2006	10.5
46-64	2006	10
18-25	2007	8
46-64	2006	14
65 plus	2006	9
65 plus	2006	10
65 plus	2006	8
46-64	2013	14
46-64	2006	9
65 plus	2006	3
46-64	2006	3.5
26-45	2014	5
65 plus	2006	11
46-64	2009	3
65 plus	2006	3.5
46-64	2007	4.5
65 plus	2006	10.5
65 plus	2006	10
46-64	2013	8
65 plus	2006	14
46-64	2011	9
46-64	2006	10
46-64	2012	8
26-45	2006	14
65 plus	2006	9
65 plus	2006	3
