group	date	value	gender
12	2007	5	M
18	2007	8	M
22	2007	10	F
45	2007	12	M
52	2007	17	M
90	2007	16	F
12	2008	4	F
18	2008	12	M
22	2008	28	F
45	2008	26	M
55	2008	22	M
82	2008	14	F
8	2009	3	M
18	2009	12	M
22	2009	20	F
45	2009	22	M
52	2009	20	F
90	2009	15	F
11	2010	5	F
18	2010	9	M
22	2010	11	F
45	2010	13	M
58	2010	18	M
74	2010	20	F
11	2011	5	F
18	2011	12	M
22	2011	10	F
45	2011	14	M
52	2011	20	M
90	2011	18	F
11	2012	5	F
18	2012	6	M
22	2012	10	F
45	2012	13	M
52	2012	17	F
90	2012	21	F
11	2013	5	F
18	2013	11	M
22	2013	15	F
45	2013	18	M
61	2013	22	F
84	2013	25	F
11	2014	5	F
17	2014	8	M
22	2014	13	F
42	2014	20	M
52	2014	20	M
85	2014	27	F
