group	date	value	gender
90	2008	10	F
36	2008	8	F
66	2009	14	F
74	2006	9	F
53	2007	10	F
67	2006	8	F
79	2006	14	F
39	2010	9	F
63	2006	3	F
63	2006	3.5	F
78	2006	5	F
44	2010	11	M
63	2005	3	F
93	2006	3.5	F
70	2006	4.5	F
59	2006	10.5	F
52	2006	10	F
72	2012	8	M
43	2011	14	F
35	2009	9	F
66	2014	10	M
49	2007	8	F
57	2005	14	F
62	2007	9	M
42	2014	3	M
52	2006	3.5	F
59	2006	5	F
36	2006	11	M
74	2006	3	M
58	2006	3.5	M
73	2011	4.5	M
60	2011	10.5	F
36	2009	10	F
43	2012	8	F
70	2014	14	F
79	2006	9	F
114	2006	10	F
51	2011	8	M
66	2009	14	M
69	2006	9	F
73	2006	3	M
34	2009	3.5	M
62	2006	5	M
28	2006	11	M
71	2006	3	F
74	2000	3.5	M
35	2012	4.5	F
46	2011	10.5	F
41	2006	10	F
28	2008	8	M
96	2006	14	F
91	2006	9	F
65	2011	10	M
65	2006	8	F
48	2006	14	M
48	2006	9	M
50	2006	3	F
42	2012	3.5	M
59	2006	5	F
53	2010	11	F
72	2006	3	F
75	2006	3.5	F
57	2006	4.5	F
82	2006	10.5	M
64	2006	10	M
20	2007	8	M
51	2006	14	M
71	2006	9	F
72	2006	10	M
71	2006	8	F
55	2013	14	F
51	2006	9	M
66	2006	3	F
63	2006	3.5	F
42	2014	5	M
76	2006	11	M
56	2009	3	F
98	2006	3.5	F
49	2007	4.5	M
69	2006	10.5	M
96	2006	10	F
55	2013	8	M
76	2006	14	F
59	2011	9	F
56	2006	10	M
55	2012	8	M
38	2006	14	M
69	2006	9	M
69	2006	3	F
50	2009	10.5	F
45	2006	10	F
45	2006	8	F
69	2006	14	M
56	2006	9	M
62	2006	10	M
20	2012	8	F
32	2006	14	F
69	2007	9	M
36	2007	3	F
62	2006	3	F
